TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Calc,AirTC_Avg,RH,WS_ms_Avg,WindDir,CS106_PB_Avg,Rain_mm_Tot
02/01/2023 03:30,166,0,0.018,0.013507796,16.82,67.05,2.52,337.5,877.312,-
02/01/2023 03:40,167,0,0.067,0.048463022,17.02,66.05,2.253,339.2,877.2847,-
02/01/2023 03:50,168,0,0.092,0.063948036,17.29,64.94,2.027,340.7,877.3287,-
02/01/2023 04:00,169,0,0.03,0.019972886,17.21,65.23,2.109,328.3,877.3722,-
02/01/2023 04:10,170,0,0.077,0.048926648,17.21,65.21,2.313,334.4,877.377,-
02/01/2023 04:20,171,0,0.016,0.009665434,17.06,66.02,2.376,330.2,877.3649,-
02/01/2023 04:30,172,0,0.098,0.056042111,16.97,66.32,2.421,340,877.4754,-
02/01/2023 04:40,173,0,0.003,0.001616335,16.7,67.38,2.5,334.5,877.5436,-
02/01/2023 04:50,174,0,0.003,0.001514738,16.6,67.55,2.401,337.8,877.5818,-
02/01/2023 05:00,175,0,0.222,0.104412395,16.92,66.04,2.323,344,877.5868,-
02/01/2023 05:10,176,0,0.028,0.012182355,16.77,66.82,2.211,330.9,877.5593,-
02/01/2023 05:20,177,0,0.003,0.001197762,16.52,67.69,2.334,344.3,877.6057,-
02/01/2023 05:30,178,0,0.005,0.001814518,16.49,67.84,2.15,331.1,877.5649,-
02/01/2023 05:40,179,0,0.056,0.018261741,16.52,67.72,2.293,325.5,877.6244,-
02/01/2023 05:50,180,0,0.188,0.054317083,16.68,67.09,2.374,339.7,877.7136,-
02/01/2023 06:00,181,0,0,0,16.03,69.76,1.781,338.4,877.8094,-
02/01/2023 06:10,182,0,0.011,0.002350681,16,69.67,1.71,341.1,877.9012,-
02/01/2023 06:20,183,0,0,0,16.18,69.15,0.372,346.7,877.977,-
02/01/2023 06:30,184,0,0.002,0.000275618,15.89,70.35,0.858,333.9,878.1102,-
02/01/2023 06:40,185,0,0.001,0.0000998,15.38,72.54,1.524,346.1,878.2332,-
02/01/2023 06:50,186,0,0.025,0.001545762,15.31,72.7,1.704,337.1,878.2658,-
02/01/2023 07:00,187,0,0.184,0.004413883,15.32,72.66,1.649,342.3,878.3552,-
02/01/2023 07:10,188,1.039,0.053,1.038276063,15.23,73.17,1.831,337.1,878.4136,-
02/01/2023 07:20,189,6.042,0.342,6.024544021,15.46,72.12,1.954,335.9,878.5597,-
02/01/2023 07:30,190,16.66,50.61,12.20199669,15.57,71.85,1.84,320.3,878.553,-
02/01/2023 07:40,191,28.95,63.18,21.07004428,15.88,70.92,0.454,314.6,878.7238,-
02/01/2023 07:50,192,75.42,302.6,26.73716703,15.92,70.99,0.038,336.3,878.8955,-
02/01/2023 08:00,193,114.6,416.2,32.81875752,16.24,70.23,0.043,324.7,878.9279,-
02/01/2023 08:10,194,138.7,480.6,27.44384562,16.97,68.13,0.065,324.7,879.0374,-
02/01/2023 08:20,195,147.1,527.2,6.963455127,18.06,64.36,0,324.5,879.1906,-
02/01/2023 08:30,196,157.6,565.4,0,19.22,61.2,0.062,160.9,879.2102,-
02/01/2023 08:40,197,183.4,593.1,0,19.73,59.93,0.258,154.2,879.4136,-
02/01/2023 08:50,198,210.1,620.3,0,20.71,57.09,0,204.9,879.5436,-
02/01/2023 09:00,199,255.1,633.2,4.988411244,21.52,54.74,0.09,108.7,879.6899,-
02/01/2023 09:10,200,341.7,566.2,101.0866142,22.25,52.6,0.839,100.8,879.7148,-
02/01/2023 09:20,201,394.3,624.5,110.8528559,22.49,52.19,0.623,144.1,879.9173,-
02/01/2023 09:30,202,403.1,653.9,88.12207868,22.37,52.4,1.047,166.6,879.977,-
02/01/2023 09:40,203,438.3,693.1,85.96463079,22.33,51.95,1.026,157.8,880.1528,-
02/01/2023 09:50,204,367,427.8,138.6423887,22.75,51.49,1.12,162.1,880.2902,-
02/01/2023 10:00,205,496.3,628.6,145.5491668,22.82,50.51,1.15,121.2,880.2343,-
02/01/2023 10:10,206,582.9,762.7,139.864925,23.3,50.51,1.563,199.3,880.2852,-
02/01/2023 10:20,207,600.4,768.8,137.2583947,23.16,50.69,1.189,146,880.297,-
02/01/2023 10:30,208,631.4,787.6,141.056852,23.5,49.34,1.493,134.6,880.2482,-
02/01/2023 10:40,209,646.5,784.6,143.3271777,24.37,47.17,1.105,157.4,880.2608,-
02/01/2023 10:50,210,675.6,808,143.4650411,24.26,47.92,1.444,156,880.2534,-
02/01/2023 11:00,211,689.8,808,144.9164488,24.56,46.52,1.599,158,880.1519,-
